time,vessel_idx,loc_idx,coordinates,effort,catch_biomass
1,2,5819,"(18.5, 58.5)",1.0,0.000849216292900299
1,2,7344,"(43.5, 73.5)",1.0,0.0
1,2,4006,"(5.5, 40.5)",1.0,0.0005928887084476307
1,1,402,"(1.5000000000000002, 4.500000000000001)",1.0,0.0
1,1,406,"(5.5, 4.500000000000001)",1.0,2.8401365860995885e-5
1,2,4622,"(21.5, 46.5)",1.0,0.018057572776822194
1,2,4682,"(81.50000000000001, 46.5)",1.0,6.449321761503328e-8
1,1,410,"(9.5, 4.500000000000001)",1.0,8.495350371573996e-8
1,2,5149,"(48.5, 51.5)",1.0,6.631524488755214e-5
1,2,3634,"(33.5, 36.5)",1.0,0.016926581725717635
1,2,5644,"(43.5, 56.5)",1.0,1.3452093580845492e-5
1,2,6111,"(10.5, 61.49999999999999)",1.0,0.00044184666858263606
1,2,5960,"(59.49999999999999, 59.49999999999999)",1.0,0.0
1,2,5361,"(60.5, 53.5)",1.0,2.8411711374487968e-5
1,1,414,"(13.500000000000002, 4.500000000000001)",1.0,2.461608437352031e-5
1,2,6134,"(33.5, 61.49999999999999)",1.0,0.0006464878069347144
1,2,4363,"(62.5, 43.5)",1.0,0.00101522639638088
1,2,5183,"(82.5, 51.5)",1.0,0.001520554214772413
1,2,5492,"(91.5, 54.49999999999999)",1.0,0.011316447587113709
1,2,3925,"(24.5, 39.5)",1.0,0.0010125803964418348
1,1,418,"(17.5, 4.500000000000001)",1.0,7.062693927790175e-5
1,2,4578,"(77.5, 45.5)",1.0,0.001905524164075722
1,1,422,"(21.5, 4.500000000000001)",1.0,0.0001320993804554471
1,2,8251,"(50.5, 82.5)",1.0,0.0008045753615842723
1,2,4062,"(61.49999999999999, 40.5)",1.0,0.0009779552154112123
1,2,4514,"(13.500000000000002, 45.5)",1.0,6.064199610842845e-6
1,2,5818,"(17.5, 58.5)",1.0,0.02271749108538394
1,1,426,"(25.5, 4.500000000000001)",1.0,6.689389033089786e-5
1,2,6432,"(31.5, 64.50000000000001)",1.0,0.006123361053328384
1,1,430,"(29.5, 4.500000000000001)",1.0,3.772021224234508e-5
1,2,5790,"(89.5, 57.5)",1.0,0.010005699179899621
1,2,7676,"(75.5, 76.5)",1.0,0.00018941360911580072
1,2,2073,"(72.5, 20.5)",1.0,0.000381001695355499
1,2,3807,"(6.5, 38.5)",1.0,0.007796346337157748
1,2,4580,"(79.5, 45.5)",1.0,0.015884340168301092
1,2,2723,"(22.5, 27.499999999999996)",1.0,0.001589099402071412
1,1,434,"(33.5, 4.500000000000001)",1.0,0.0002891567615307162
1,2,3717,"(16.500000000000004, 37.50000000000001)",1.0,1.33419317310726e-5
1,2,5414,"(13.500000000000002, 54.49999999999999)",1.0,0.001541825513867136
1,1,438,"(37.50000000000001, 4.500000000000001)",1.0,0.00018018132171016774
1,2,7372,"(71.5, 73.5)",1.0,0.0023286020139602448
1,1,442,"(41.5, 4.500000000000001)",1.0,0.0
1,1,446,"(45.5, 4.500000000000001)",1.0,0.0
1,2,7361,"(60.5, 73.5)",1.0,0.011440977665645629
1,1,450,"(49.5, 4.500000000000001)",1.0,9.990247473963044e-6
1,2,4529,"(28.5, 45.5)",1.0,0.00945320628301987
1,1,454,"(53.5, 4.500000000000001)",1.0,4.2570868503307264e-8
1,1,458,"(57.5, 4.500000000000001)",1.0,0.00010472208625313128
1,1,462,"(61.49999999999999, 4.500000000000001)",1.0,0.0009031559025423523
1,1,466,"(65.5, 4.500000000000001)",1.0,0.0015665719889488793
1,2,7373,"(72.5, 73.5)",1.0,9.187975831645285e-6
1,2,5524,"(23.5, 55.5)",1.0,0.019988758236294205
1,2,4890,"(89.5, 48.5)",1.0,0.00013713626219651875
1,2,6812,"(11.5, 68.5)",1.0,0.0008340818807935983
1,2,4273,"(72.5, 42.5)",1.0,0.0007066627395485609
1,1,470,"(69.50000000000001, 4.500000000000001)",1.0,5.29420270812936e-5
1,2,6937,"(36.5, 69.50000000000001)",1.0,0.00019562205851060733
1,2,5548,"(47.5, 55.5)",1.0,1.3399600994299017e-6
1,2,4812,"(11.5, 48.5)",1.0,0.025878146628520823
1,1,474,"(73.5, 4.500000000000001)",1.0,0.00384570040966387
1,2,4073,"(72.5, 40.5)",1.0,0.0034190887399242345
1,2,4544,"(43.5, 45.5)",1.0,4.2025642711156206e-5
1,2,6059,"(58.5, 60.5)",1.0,0.006209478122722782
1,2,1931,"(30.5, 19.5)",1.0,0.0
1,2,6526,"(25.5, 65.5)",1.0,0.0012696987886593148
1,2,5250,"(49.5, 52.50000000000001)",1.0,0.0
1,2,5001,"(0.5, 50.5)",1.0,0.0002905482124864607
1,1,478,"(77.5, 4.500000000000001)",1.0,2.461251756962475e-12
1,2,1863,"(62.5, 18.5)",1.0,0.0
1,2,5939,"(38.5, 59.49999999999999)",1.0,0.0003932818644820389
1,2,6937,"(36.5, 69.50000000000001)",1.0,0.002296320870791209
1,2,6443,"(42.5, 64.50000000000001)",1.0,0.0036575372786249285
1,2,4132,"(31.5, 41.5)",1.0,0.011140120404912655
1,1,482,"(81.50000000000001, 4.500000000000001)",1.0,0.0004956439696222635
1,2,4163,"(62.5, 41.5)",1.0,0.0004951006044871531
1,2,8364,"(63.5, 83.5)",1.0,0.0
1,1,486,"(85.5, 4.500000000000001)",1.0,0.0
1,2,1120,"(19.5, 11.5)",1.0,0.0
1,1,490,"(89.5, 4.500000000000001)",1.0,0.0
1,1,494,"(93.5, 4.500000000000001)",1.0,0.0015995153091777701
